row_index,title,cleaned_text,skills_technical,skills_soft,skills_tool,skills_domain,skills_certification,all_skills,skill_count
0,10 + Blockchain Nodes / Masternodes to set up,blockchain nodes masternodes set requirements looking long term collaboration someone experience crypto masternodes nodes validators etc need set : kyber network nebulas secretnetwork tron aion defich,blockchain; Kyber Network; Nebulas; SecretNetwork; Tron; Aion; DefiChain; EOS; Tomochain; Elrond; IrisNet; IoTeX; Terra; ChainX; Thorchain,,,crypto,,blockchain; crypto; Kyber Network; Nebulas; SecretNetwork; Tron; Aion; DefiChain; EOS; Tomochain; Elrond; IrisNet; IoTeX; Terra; ChainX; Thorchain,16
1,10 .NET Developers (Middle and Senior level),net developers middle senior level greetings name maria urgent need find team net developers middle senior level join product company customer sweden years project monolith microservices platform let ,.NET; microservices; multi-cloud; SaaS,,,,,.NET; microservices; multi-cloud; SaaS,4
2,"10X Engineer (co-founder, #4 employee, USD 11-12k, 1-4% equity)",x engineer co founder employee usd k equity product product live video chat co browsing website visitors helps companies generate customers instant video meetings directly visitor website browsing com,live video chat; co-browsing,,,,,live video chat; co-browsing,2
3,16 - Amazon Brand Manager,amazon brand manager currently tcm expanding activities ukraine hiring staff offices kiev positions offered equal opportunity races religious gender nationalities color role role self starter manage p,,customer service,,brand management; marketing; financial management; risk mitigation; compliance; inventory management,,brand management; marketing; financial management; customer service; risk mitigation; compliance; inventory management,7
4,16 - Amazon Brand Manager,amazon brand manager hello mimirbb outstaff company looking experienced responsible amazon brand manager become part expert team role role self starter manage products portfolio ensuring success day d,,customer service,,brand management; marketing; financial management; risk mitigation; compliance; inventory management,,brand management; marketing; financial management; customer service; risk mitigation; compliance; inventory management,7
5,1806/01 PHP Developer,php developer requirements : experience php years strong knowledge work experience laravel experience javascript vue js excellent knowledge databases mysql experience working git good problem solving ,PHP; Laravel; JavaScript; Vue.js; MySQL; server management,,Git,,,PHP; Laravel; JavaScript; Vue.js; MySQL; Git; server management,7
6,1806/03 Sales Manager,sales manager requirements : experience sales year generic understanding technologies software development process knowledge sales techniques sales markets good communication negotiation skills fluent,,negotiation; communication,,sales,,sales; negotiation; communication,3
7,1807/01 Middle+ / Senior marketing specialist,middle senior marketing specialist ideal candidate profile : least years experience digital marketing bb least years experience outsourcing must english level verbal written : upper intermediate b exp,,technical writing,,digital marketing; marketing research,,digital marketing; marketing research; technical writing,3
8,1807/04 Business Development Manager,business development manager requirements : years experience proven track records sales excellent communication skills verbal written advanced level english software development process understanding ,,communication; negotiation,,business development; sales,,business development; sales; communication; negotiation,4
9,1812/35 Middle DataBase developer,middle database developer job responsibilities : monitor incoming outgoing data well create modify code processes relating incoming outgoing data feeds prepare maintain data migration processes inside,SQL; database development; stored procedures; views; functions; triggers,,SQL Profiler,,,SQL; database development; stored procedures; views; functions; triggers; SQL Profiler,7
10,1815/06 Lead/Senior Backend Engineer (Python),lead senior backend engineer python : python sql nosql kubernetes docker methodologies tensorflow pytorch requirements years experience python development b sc computer science related field worked la,Python; SQL; NoSQL; Kubernetes; Docker; TensorFlow; PyTorch,,,,,Python; SQL; NoSQL; Kubernetes; Docker; TensorFlow; PyTorch,7
11,1831/29 Senior Java Developer,senior java developer requirements : bs ms computer science related field significant experience java core networking res rabbitmq couchdb spring framework google protobuf google guava javax servlet j,Java; RabbitMQ; CouchDB; Spring Framework; Google Protobuf; Google Guava; JUnit; Mockito; Gradle,,NewRelic; Datadog,,,Java; RabbitMQ; CouchDB; Spring Framework; Google Protobuf; Google Guava; JUnit; Mockito; Gradle; NewRelic; Datadog,11
12,1913/06 Trainee/Junior Database developer,trainee junior database developer able assist schema design code review sql query tuning develop stored procedures functions packages views using plsql pgsql sql write deploy sql script upgrade knowle,SQL; PL/SQL; PGSQL; PostgreSQL,,DBeaver; PgAdmin; Oracle SQL Developer; Toad; Jira; Git,,,SQL; PL/SQL; PGSQL; PostgreSQL; DBeaver; PgAdmin; Oracle SQL Developer; Toad; Jira; Git,10
13,1919/08 Middle Python Developer,middle python developer : python amazon aws rest api nosql need : years experience python proficient gcp aws gcp preferred experienced creating rest apis using python api framework flask django debugg,Python; Amazon AWS; REST API; NoSQL; Flask; Django,,,,,Python; Amazon AWS; REST API; NoSQL; Flask; Django,6
14,1919/10 Junior Ruby on Rails Developer,junior ruby rails developer : ruby rails postgresql unit testing html css javascript requirements : year ruby rails development good knowledge postgresql activerecord orm good knowledge unit testing r,Ruby; Rails; PostgreSQL; HTML; CSS; JavaScript; AWS; Heroku; Stripe; PayPal; JQuery,,,,,Ruby; Rails; PostgreSQL; HTML; CSS; JavaScript; AWS; Heroku; Stripe; PayPal; JQuery,11
15,1926/05 DevOps Engineer,devops engineer : devops engineering skills terraform ansible git docker drupal react nginx remote kharkiv devops engineer 's responsibilities include establishing optimizing automation server process,Terraform; Ansible; Docker; Drupal; React; Nginx; AWS,,Git,,,Terraform; Ansible; Git; Docker; Drupal; React; Nginx; AWS,8
16,1926/07 Senior Java Software Engineer,senior java software engineer responsibilities take ownership design development maintenance microservices powering open platform energy utilities industry work scalable components performing financia,Java,,,,,Java,1
17,1940 Middle Java Developer + Welcome Bonus!,middle java developer welcome bonus work exadel : since exadel engineering software products custom software clients sizes headquartered walnut creek california exadel currently employees development ,Java,,,,,Java,1
18,1C/Baf developer,c baf developer project goal develop c erp system according stakeholders requirements newly established business processes within avenga : financial reporting resource management asset management etc ,C,,,BAF; ERP,,C; BAF; ERP,3
19,1C bas erp,c bas erp looking experienced c analyst join team responsible analyzing optimizing functionality bas erp subsystems requirements : knowledge principles operation main subsystems bas erp strong knowled,C,,,BAS; ERP,,C; BAS; ERP,3
20,1C Engineer,c engineer n ix one fastest growing ukrainian companies providing comprehensive software development services number well known international companies well european us tech start ups since delivered ,software development,,,,,software development,1
21,1C QA Specialist,c qa specialist : designing relevant test cases check lists verify test software effectively apply new existing product features manual automatic testing modifications writing documentation testing fu,manual testing; automatic testing,,,,,manual testing; automatic testing,2
22,1C Solution and Support Developer,c solution support developer c development python sql windows server sql server administration web services sap erp system fluent english role solution development defects fixes perform phases develop,Python; SQL; Windows Server; SQL Server; Web services,,SAP ERP,,,Python; SQL; Windows Server; SQL Server; SAP ERP; Web services,6
23,"1Full Stack Software Engineer - NY Startup (React, Node, REST API) + Опціон!",full stack software engineer ny startup react node rest api client us based digital ordering technology developer powerful personalization engine looking full stack software engineer join team type : ,React; Node; REST API; AI; Machine learning,,,,,React; Node; REST API; AI; Machine learning,5
24,1.Middle/Senior Embedded C/C++,middle senior embedded c c chi team looking middle senior embedded c c client : leading global supplier embedded connected software automotive industry client company develops award winning igo naviga,C; Embedded C; Navigation engine,,,,,C; Embedded C; Navigation engine,3
25,#1 Senior Recruiter,senior recruiter need hunter chase top candidates give fresh ideas sourcing team recruitment strategy follow ups company employee brand recruiter inspire candidates mission passionate enough make cand,,,,Recruitment strategy; Sourcing,,Recruitment strategy; Sourcing,2
26,1st / 2nd Line IT Support Engineer,st nd line support engineer role : engineers help small businesses technology questions problems basically department would large business anything technology servers laptops macs pcs printers mobile ,Systems engineering,,,,,Systems engineering,1
27,1st and 2nd Level Support,st nd level support product support specialist f remote full time contractor product support specialist : troubleshooting customers primary secondary technical contact answer customer requests product,Troubleshooting,,,,,Troubleshooting,1
28,1st level customer support - FLUENT ENGLISH,st level customer support fluent english voxloud looking high energy dynamic customer support agent provide st support english customers successful candidate included st level customer service team re,,Customer service,,,,Customer service,1
29,1st line Customer Support Engineer,st line customer support engineer st line customer support engineer direct point contact customers assists troubleshooting resolving issues product detects need escalate transfer issue next level tech,Troubleshooting,,,,,Troubleshooting,1
30,1st Line Customer Support (night shifts),st line customer support night shifts day day activities registration description classification incoming issues provide st line support via chat customers ensure content functions designed customers ,,,,customer support; registration; classification,,customer support; registration; classification,3
31,1st Line Support Engineer,st line support engineer responsibilities : ensure best quality service provided customers incident management incidents intake via phone emails helpdesk performing incident analysis details materials,,English,,incident management,,incident management; English,2
32,1st. Line Support Engineer / Customer Success Engineer,st line support engineer customer success engineer globrecs global recruitment solutions recruiting company specializing timely high quality recruitment executive search services around globe looking ,,,Salesforce,customer engagement; recruitment,,Salesforce; customer engagement; recruitment,3
